No,Country,Alpha-2,Alpha-3,Continent,Motto
1,Afghanistan,AF,AFG,Asia,There is no god but God; Muhammad is the messenger of God.
2,Austria,AT,AUT,Europe,"The future is in our hands, Austria is in our hearts"
3,Benin ,BJ,BEN,Africa," Fellowship, Justice, Labour"
4,Brunai Darussalam,BN,BRN,Asia,Always in service with God's guidance
5,Canada,CA,CAN,North America,From sea to sea 
6,Colombia ,CO,COL,South America,Freedom and order
7,Costa Rica,CR,CRI,Central America,Work and Peace forever.
8,Cuba,CU,CUB,North America,"Fatherland or death, we shall overcome!"
9,Frace,FR,FRA,Europe,"Liberty, equality, fraternity"
10,Georgia,GE,GEO,Asia,Strength is in Unity!
11,Greece,GR,GRC,Europe,Freedom or Death 
12,Indonesia,ID,IDN,Asia,Unity in diversity
13,Iran,IR,IRN,Asia,God is the Greatest 
14,Laos,LA,LAO,Asia,"Peace, independence, democracy, unity and prosperity"
15,Lebanon,LB,LBN,Asia,"We are all for the Country, the Sublime and the Flag "
16,Luxembourg,LU,LUX,Europe,We wish to remain what we are 
17,Malaysia,MY,MYS,Asia,Unity is strength
18,Mali,ML,MLI,West Africa,"One people, one goal, one faith"
19,Malta,MT,MLT,Europe,Strength and consistency
20,Morroco,MA,MAR,North Africa,"God, the Country, the King"
21,Nepal,NP,NPL,Asia,Mother and motherland are greater than heaven
22,Netherlands,NL,NLD,Europe,I will maintain
23,Niracagua,NI,NIC,North America,In God We Trust 
24,Nigeria,NG,NGA,West Africa,"Unity and Faith, Peace and Progress"
25,Pakistan,PK,PAK,Asia,"Faith, Unity, Discipline "
26,Peru,PE,PER,South America,Firm and happy for the union 
27,Philippines,PH,PHL,Asia,"For God, for the people, for nature and for the country"
28,Portugal,PT,PRT,Europe,This is my blissful beloved homeland
29,Rwanda,RW,RWA,East Central Africa,"Unity, Work, Patriotism"
30,Samoa,WS,SOM,Oseania,God be the Foundation of Samoa 
31,Saudi Arabia,SA,SAU,Asia,There is no God other than God and Muhammad is the Messenger of God 
32,Senegal,SN,SNG,West Africa,"One people, one goal, one faith"
33,Seychelles,SE,SEY,East Africa,The end crowns the work
34,Sierre Leone,SL,SLE,West Africa,"Unity, freedom, justice."
35,Singapore,SG,SGP,Asia,Onward Singapore
36,Solomon Islands,SB,SLB,Oseania,To lead is to serve
37,South Africa,ZA,ZAF,South Africa,Diverse people unite or Unity in Diversity
38,South Sudan,SS,SSD,East Central Africa,"Justice, Liberty, Prosperity"
39,Spain,ES,ESP,Europe,Further beyond
40,Sudan,SD,SDN,Africa,Victory is Ours
41,Suriname,SR,SUR,South AMerica,"Justice, piety, loyalty"
42,Syrian Arab Republic,SY,SYR,Asia,"Unity, Freedom, Socialism"
43,Tajikistan,TJ,TJK,Asia,"Independence, Freedom, Homeland!"
44,Tanzania,TZ,TZA,East Africa,Freedom and Unity
45,Togo,TG,TGO,West Africa,"Work, liberty, homeland"
46,Tonga,TO,TON,Oseania,God and Tonga are my Inheritance
47,Trinidad and Tobago,TT,TTO,South AMerica,"Together we aspire, together we achieve."
48,Tunisia,TN,TUN,North Africa,"Freedom, Order, Justice"
49,Turkmenistan,TM,TKM,Asia,Turkmenistan is the motherland of Neutrality
50,Tuvalu,TU,TUV,Oseania,Tuvalu for the Almighty
51,Uganda,UG,UGA,East Central Africa,For God and My Country
52,United Arab Emirates,AE,ARE,Asia,"God, Nation, President"
53,United States of America,US,USA,North America,In God We Trust
54,Uruguay,UY,URY,South America,Liberty or Death
55,Uzbekistan,UZ,UZB,Asia,The Strength is in The Justice!
56,Vanuatu,VU,VUT,Oseania,In God we stand
57,Vietnam,VN,VNM,Asia,"Independence, Liberty, Happiness"
58,Yemen,YE,YEM,Asia,"God, Homeland, Revolution, Unity"
59,Zambia,ZM,ZMB,South Central Africa,"One Zambia, One Nation"
60,Zimbabwe,ZW,ZWE,Southern Africa,"Unity, Freedom, Work"